policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q95_mass_2_reset_q90_R3,recovery_reset_mass,136,211,42,0.11764705882352941,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.39576576576576566,0.11904761904761907,2.458861537570068
q95_mass_3_reset_q90_R3,recovery_reset_mass,136,211,42,0.10294117647058823,0.1895734597156398,0.8809523809523809,0.0,0.09523809523809523,0.6666666666666666,0.4153153153153154,0.11904761904761907,2.3979766326922727
q95_mass_5_reset_q90_R3,recovery_reset_mass,136,211,42,0.09558823529411764,0.12796208530805686,0.8571428571428571,0.0,0.023809523809523808,0.5714285714285714,0.4730555555555555,0.1428571428571429,2.227002416685473
q95_mass_8_reset_q90_R3,recovery_reset_mass,136,211,42,0.08088235294117647,0.04739336492890995,0.7619047619047619,0.0,0.0,0.5,0.49427083333333316,0.23809523809523814,2.0554550856183704
q95_mass_10_reset_q90_R3,recovery_reset_mass,136,211,42,0.08088235294117647,0.02843601895734597,0.7619047619047619,0.0,0.0,0.5,0.5111458333333333,0.23809523809523814,2.089151027561498
q95_mass_15_reset_q90_R3,recovery_reset_mass,136,211,42,0.0661764705882353,0.014218009478672985,0.7142857142857143,0.0,0.0,0.38095238095238093,0.5644444444444444,0.2857142857142857,1.8304528699315428
q95_count_5_reset_q90_R5,recovery_reset_count,136,211,42,0.1323529411764706,0.24170616113744076,0.9285714285714286,0.0,0.16666666666666666,0.8333333333333334,0.35846153846153833,0.0714285714285714,2.7424484835859246
q95_count_10_reset_q90_R5,recovery_reset_count,136,211,42,0.11764705882352941,0.22274881516587677,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.39549549549549545,0.11904761904761907,2.4020570672229438
q95_count_15_reset_q90_R5,recovery_reset_count,136,211,42,0.11029411764705882,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6428571428571429,0.4181981981981982,0.11904761904761907,2.381824858033389
q95_count_20_reset_q90_R5,recovery_reset_count,136,211,42,0.09558823529411764,0.14691943127962084,0.8809523809523809,0.0,0.047619047619047616,0.5952380952380952,0.4392792792792792,0.11904761904761907,2.310627031906652
q95_count_30_reset_q90_R5,recovery_reset_count,136,211,42,0.08088235294117647,0.061611374407582936,0.8095238095238095,0.0,0.0,0.5,0.5245098039215685,0.19047619047619047,2.114697419252061
q95_mass_1_reset_q90_R5,recovery_reset_mass,136,211,42,0.1323529411764706,0.22274881516587677,0.9047619047619048,0.0,0.14285714285714285,0.7380952380952381,0.38535087719298244,0.09523809523809523,2.5534027456080963
q95_mass_2_reset_q90_R5,recovery_reset_mass,136,211,42,0.11764705882352941,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.39576576576576566,0.11904761904761907,2.458861537570068
q95_mass_3_reset_q90_R5,recovery_reset_mass,136,211,42,0.10294117647058823,0.1895734597156398,0.8809523809523809,0.0,0.09523809523809523,0.6666666666666666,0.4153153153153154,0.11904761904761907,2.3979766326922727
q95_mass_5_reset_q90_R5,recovery_reset_mass,136,211,42,0.09558823529411764,0.12796208530805686,0.8571428571428571,0.0,0.023809523809523808,0.5714285714285714,0.47296296296296286,0.1428571428571429,2.227025564833621
q95_mass_8_reset_q90_R5,recovery_reset_mass,136,211,42,0.08088235294117647,0.04739336492890995,0.7619047619047619,0.0,0.0,0.5,0.49416666666666653,0.23809523809523814,2.055481127285037
q95_mass_10_reset_q90_R5,recovery_reset_mass,136,211,42,0.08088235294117647,0.02843601895734597,0.7619047619047619,0.0,0.0,0.5,0.5110416666666666,0.23809523809523814,2.089177069228165
q95_mass_15_reset_q90_R5,recovery_reset_mass,136,211,42,0.0661764705882353,0.014218009478672985,0.7380952380952381,0.0,0.0,0.38095238095238093,0.5783870967741934,0.26190476190476186,1.874586254468153
q95_count_5_reset_q90_R10,recovery_reset_count,136,211,42,0.1323529411764706,0.24170616113744076,0.9285714285714286,0.0,0.16666666666666666,0.8333333333333334,0.3583760683760683,0.0714285714285714,2.742469851107292
q95_count_10_reset_q90_R10,recovery_reset_count,136,211,42,0.11764705882352941,0.22274881516587677,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.3947747747747747,0.11904761904761907,2.402237247403124
q95_count_15_reset_q90_R10,recovery_reset_count,136,211,42,0.11029411764705882,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6428571428571429,0.4131531531531531,0.11904761904761907,2.38308611929465
q95_count_20_reset_q90_R10,recovery_reset_count,136,211,42,0.09558823529411764,0.14691943127962084,0.8809523809523809,0.0,0.047619047619047616,0.5952380952380952,0.4378378378378377,0.11904761904761907,2.3109873922670126
q95_count_30_reset_q90_R10,recovery_reset_count,136,211,42,0.08088235294117647,0.061611374407582936,0.8095238095238095,0.0,0.0,0.5,0.5226470588235292,0.19047619047619047,2.1151631055265705
q95_mass_1_reset_q90_R10,recovery_reset_mass,136,211,42,0.1323529411764706,0.22274881516587677,0.9047619047619048,0.0,0.14285714285714285,0.7380952380952381,0.3849122807017544,0.09523809523809523,2.553512394730903
q95_mass_2_reset_q90_R10,recovery_reset_mass,136,211,42,0.11764705882352941,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.3954954954954954,0.11904761904761907,2.458929105137636
q95_mass_3_reset_q90_R10,recovery_reset_mass,136,211,42,0.10294117647058823,0.1895734597156398,0.8809523809523809,0.0,0.09523809523809523,0.6666666666666666,0.4096396396396397,0.11904761904761907,2.3993955516111916
q95_mass_5_reset_q90_R10,recovery_reset_mass,136,211,42,0.09558823529411764,0.12796208530805686,0.8571428571428571,0.0,0.023809523809523808,0.5714285714285714,0.4694444444444444,0.1428571428571429,2.2279051944632506
q95_mass_8_reset_q90_R10,recovery_reset_mass,136,211,42,0.08088235294117647,0.04739336492890995,0.7619047619047619,0.0,0.0,0.5,0.4933333333333332,0.23809523809523814,2.05568946061837
